iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
1,0.38150003398033927,3,3284,3214,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3741  340 1461 2112 3583 1749 2027 1616  690 2223]",1051
2,0.38214836443057143,30,3741,3881,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1096
3,0.3813043551004737,22,2656,4502,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 3166 4076 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1017
4,0.3830597493540859,25,3166,2655,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 4076 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1047
5,0.38412752764773916,26,4076,3239,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1071
6,0.38588477621953626,5,7184,7111,"[2759 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1067
7,0.386596730710294,0,2759,4005,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1100
8,0.3854916996354748,37,1616,7330,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1092
9,0.38766557106771454,21,2642,1544,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1102
10,0.3898155767042821,9,6329,5976,"[4005 3017 4781 3214 1255 7111 1976 2720  812 5976 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1146
