iter,fitness,moved_station,old_cell,new_cell
1,0.3810812769726506,3,3284,3211
2,0.3771605919560995,30,3741,5056
3,0.37293448497910353,3,3211,1716
4,0.37457260396456593,27,2234,6752
5,0.3717798804637811,29,592,4092
6,0.3765627517075428,30,5056,592
7,0.3629085198134515,33,2112,2529
8,0.35992480706326696,18,2591,5770
9,0.3595693388711726,31,340,4210
10,0.3572298907103043,25,3166,2953
11,0.36240515039191756,18,5770,3212
12,0.36018493366953613,9,6329,412
13,0.3569885372210201,34,3583,3746
14,0.3618294521632015,33,2529,4502
15,0.3597437152914839,28,3991,6268
16,0.3574897908829209,14,1051,5905
17,0.3619328018286301,27,6752,1193
18,0.3596168167005954,31,4210,2748
19,0.35829051004164447,19,3575,2180
20,0.35314267311095626,1,3017,3713
21,0.3525639907933985,36,2027,6325
22,0.350429225758228,29,4092,2837
23,0.3616228689043096,36,6325,3369
24,0.35823229351134434,14,5905,2170
25,0.35995360548237354,18,3212,3648
26,0.35746510782057045,5,7184,2947
27,0.3486163456774126,22,2656,3596
28,0.3489347563727779,26,4076,6329
29,0.3467964909589121,25,2953,2740
30,0.34709419432957295,28,6268,6484
31,0.3537094354157048,17,1299,3209
32,0.3614569535512231,32,1461,2515
33,0.361659827041964,9,412,1017
34,0.3583170866206138,27,1193,1057
35,0.3459411488346995,32,2515,4917
36,0.34676839494920575,0,2759,4079
37,0.33834965369832576,18,3648,4553
38,0.35339245991337864,28,6484,2588
39,0.34875364079124715,20,3079,1121
40,0.3478774151392954,22,3596,1390
41,0.353639015194632,17,3209,3291
42,0.35278143360806574,26,6329,4132
43,0.3521041878167349,3,1716,5481
44,0.3510484326320843,30,592,3790
45,0.3510326648943349,3,5481,2896
46,0.3512606050188607,22,1390,318
47,0.34145357638747,13,3590,2403
48,0.3418055582679352,17,3291,3290
49,0.338918091405462,39,2223,2085
50,0.34188898806712703,34,3746,521
51,0.34251561479707165,34,521,3212
52,0.3459277491393895,11,1306,4022
53,0.34804404494387164,5,2947,6187
54,0.350501783628484,22,318,3663
55,0.3513194221038084,16,1376,7037
56,0.35178027775058235,16,7037,592
57,0.34929298821313937,13,2403,626
58,0.34702972512748265,0,4079,4283
59,0.3453832078588076,27,1057,1443
60,0.34389940184693757,18,4553,3491
61,0.3407627072432983,37,1616,4224
62,0.3323802489398975,6,1976,2149
63,0.3382597599044661,6,2149,1831
64,0.3286282976728676,15,6907,6337
65,0.3287200112341988,24,1878,1379
66,0.3275393555571762,14,2170,1741
67,0.339083633572597,13,626,7260
68,0.32767600955701487,38,690,3235
69,0.3336770999645457,18,3491,7181
70,0.31742759381025787,10,6688,5416
71,0.3234561991179831,10,5416,2191
72,0.3114174187525314,28,2588,2164
73,0.3238730914447512,3,2896,6759
74,0.31536435632076887,3,6759,2726
75,0.3101971605286968,28,2164,1806
76,0.30678851611750274,8,812,2684
77,0.3167072078317978,21,2642,6687
78,0.32247301496209513,7,2720,2804
79,0.3230602888246446,19,2180,2109
80,0.3246833155928374,28,1806,2436
81,0.3245432370997505,5,6187,2713
82,0.32426423484973554,23,2214,460
83,0.3266667716935292,30,3790,406
84,0.32704060655908707,16,592,2285
85,0.3237950689456325,7,2804,739
86,0.31377815445837237,13,7260,1390
87,0.3122155156834904,7,739,885
88,0.31640028707626766,23,460,7192
89,0.31860992127789967,39,2085,2088
90,0.3202732022399529,23,7192,3795
91,0.3274882070879789,11,4022,7330
92,0.3403503004132846,0,4283,2803
93,0.33851305002993354,18,7181,454
94,0.3425302717958138,31,2748,3741
95,0.34359474798416495,26,4132,7110
96,0.3350502468367137,19,2109,3631
97,0.3252412629247867,21,6687,2178
98,0.32286766941574896,18,454,2166
99,0.32361368999014045,21,2178,2323
100,0.3211454082011549,20,1121,377
101,0.3289033112995324,14,1741,6766
102,0.3287508028941014,33,4502,831
103,0.3255775613233055,12,962,749
104,0.32783146076129993,22,3663,4289
105,0.3245700304215378,4,1255,4133
106,0.32042022752437477,11,7330,6048
107,0.3251976193598408,37,4224,770
108,0.33091570349775074,30,406,7258
109,0.3309577060715179,39,2088,332
110,0.33049243848359694,9,1017,2174
111,0.32649788410114217,21,2323,4409
112,0.3218603774852507,14,6766,6610
113,0.33173002085656833,38,3235,6834
114,0.3368178386436453,12,749,1330
115,0.3356671948773463,24,1379,1451
116,0.3341348903164752,20,377,4157
117,0.3259411389644908,7,885,388
118,0.32289541374356445,6,1831,1830
119,0.32215188118259297,38,6834,6759
120,0.3266308466159055,39,332,3309
121,0.31953330915431977,33,831,3660
122,0.3246349014529601,35,1749,958
123,0.3296584330651674,18,2166,2237
124,0.3215897137621835,12,1330,1716
125,0.326645987038919,16,2285,547
126,0.32889222648020955,14,6610,2212
127,0.330921358373185,15,6337,6695
128,0.33030276870441705,10,2191,972
129,0.3268049831098639,1,3713,3640
130,0.3336194075089734,4,4133,810
131,0.3329697153988854,29,2837,2231
132,0.33212194695530195,7,388,4132
133,0.3381276409073541,1,3640,1406
134,0.33869809375346766,7,4132,3785
135,0.3458671050728823,12,1716,2109
136,0.3377414684678067,38,6759,731
137,0.3420900337428434,37,770,978
138,0.33376039687437403,0,2803,824
139,0.3338830676614809,0,824,822
140,0.34153658035987033,27,1443,2661
141,0.335363263679152,37,978,2335
142,0.33400548750005044,27,2661,981
143,0.3324182423488969,34,3212,4133
144,0.3327496923208949,32,4917,4049
145,0.33056876458463935,33,3660,1300
146,0.3420638697856525,5,2713,6688
147,0.33925344106980454,3,2726,2641
148,0.3462276874900137,15,6695,2804
149,0.35370850755441074,20,4157,6907
150,0.35687445752926517,26,7110,1907
151,0.3545145331484845,38,731,318
152,0.3572850862042875,36,3369,3083
153,0.3461645622511122,5,6688,804
154,0.350898557676776,25,2740,1682
155,0.35007179295331636,29,2231,7110
156,0.3460225241255901,16,547,3247
157,0.34099850157243394,7,3785,4281
158,0.3486971054151723,37,2335,2864
159,0.34500448442814824,25,1682,333
160,0.34706847036292376,31,3741,1541
161,0.34659367554466614,11,6048,6049
