iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
1,0.3819738515562308,3,3284,3214,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3741  340 1461 2112 3583 1749 2027 1616  690 2223]",1051
2,0.38264568204980265,30,3741,3881,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1096
3,0.3816979286200101,22,2656,4502,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 3166 4076 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1017
4,0.38356156787949736,25,3166,2655,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 4076 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1047
5,0.3845814450391673,26,4076,3239,"[2759 3017 4781 3214 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1071
6,0.3863367004763332,5,7184,7111,"[2759 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1067
7,0.3871623799675989,0,2759,4005,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 1616  690 2223]",1100
8,0.385943293069135,37,1616,7330,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1092
9,0.388142110884535,21,2642,1544,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1102
10,0.39028992591108147,9,6329,5976,"[4005 3017 4781 3214 1255 7111 1976 2720  812 5976 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1146
11,0.3900823453334103,9,5976,6045,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6045 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1146
12,0.3957676182104411,11,1306,2641,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6045 6688 2641  962 3590
 1051 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1072
13,0.3951018272276081,14,1051,910,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6045 6688 2641  962 3590
  910 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881  340 1461 2112 3583 1749 2027 7330  690 2223]",1094
14,0.39581104785055365,31,340,2247,"[4005 3017 4781 3214 1255 7111 1976 2720  812 6045 6688 2641  962 3590
  910 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  690 2223]",1072
15,0.398686945543673,2,4781,2471,"[4005 3017 2471 3214 1255 7111 1976 2720  812 6045 6688 2641  962 3590
  910 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  690 2223]",1079
16,0.4000834808777749,7,2720,2692,"[4005 3017 2471 3214 1255 7111 1976 2692  812 6045 6688 2641  962 3590
  910 6907 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  690 2223]",1027
17,0.39608586388446826,15,6907,2649,"[4005 3017 2471 3214 1255 7111 1976 2692  812 6045 6688 2641  962 3590
  910 2649 1376 1299 2591 3575 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  690 2223]",1004
18,0.39676592405514244,19,3575,3576,"[4005 3017 2471 3214 1255 7111 1976 2692  812 6045 6688 2641  962 3590
  910 2649 1376 1299 2591 3576 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  690 2223]",1024
19,0.3971767190181708,13,3590,3518,"[4005 3017 2471 3214 1255 7111 1976 2692  812 6045 6688 2641  962 3518
  910 2649 1376 1299 2591 3576 3079 1544 4502 2214 1878 2655 3239 2234
 3991  592 3881 2247 1461 2112 3583 1749 2027 7330  690 2223]",1021
