iter,fitness,moved_station,old_cell,new_cell,layout
1,0.341462707856018,3,3284,2671,"[2759 3017 4781 2671 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3741  340 1461 2112 3583 1749 2027 1616  690 2223]"
2,0.34096804113971224,30,3741,4504,"[2759 3017 4781 2671 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 4504  340 1461 2112 3583 1749 2027 1616  690 2223]"
3,0.3408447797119245,3,2671,887,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 4504  340 1461 2112 3583 1749 2027 1616  690 2223]"
4,0.34067581205236097,27,2234,7260,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 7260
 3991  592 4504  340 1461 2112 3583 1749 2027 1616  690 2223]"
5,0.3400799269305329,29,592,3811,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 7260
 3991 3811 4504  340 1461 2112 3583 1749 2027 1616  690 2223]"
6,0.33840707588955565,30,4504,914,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 7260
 3991 3811  914  340 1461 2112 3583 1749 2027 1616  690 2223]"
7,0.33769071112165083,33,2112,2182,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 7260
 3991 3811  914  340 1461 2182 3583 1749 2027 1616  690 2223]"
8,0.3315540838020078,18,2591,5904,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 5904 3575 3079 2642 2656 2214 1878 3166 4076 7260
 3991 3811  914  340 1461 2182 3583 1749 2027 1616  690 2223]"
9,0.3324872499896426,31,340,3941,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 5904 3575 3079 2642 2656 2214 1878 3166 4076 7260
 3991 3811  914 3941 1461 2182 3583 1749 2027 1616  690 2223]"
10,0.32842774707281447,25,3166,2462,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 5904 3575 3079 2642 2656 2214 1878 2462 4076 7260
 3991 3811  914 3941 1461 2182 3583 1749 2027 1616  690 2223]"
11,0.3303558694391717,18,5904,2995,"[2759 3017 4781  887 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 7260
 3991 3811  914 3941 1461 2182 3583 1749 2027 1616  690 2223]"
12,0.3277936611525944,9,6329,544,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 1051 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 7260
 3991 3811  914 3941 1461 2182 3583 1749 2027 1616  690 2223]"
13,0.3267125163889343,34,3583,3310,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 1051 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 7260
 3991 3811  914 3941 1461 2182 3310 1749 2027 1616  690 2223]"
14,0.3251798103274106,33,2182,3650,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 1051 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 7260
 3991 3811  914 3941 1461 3650 3310 1749 2027 1616  690 2223]"
15,0.32219797264561056,28,3991,6626,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 1051 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 7260
 6626 3811  914 3941 1461 3650 3310 1749 2027 1616  690 2223]"
16,0.32062308587636906,14,1051,4503,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 7260
 6626 3811  914 3941 1461 3650 3310 1749 2027 1616  690 2223]"
17,0.3193409156430103,27,7260,1239,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 1239
 6626 3811  914 3941 1461 3650 3310 1749 2027 1616  690 2223]"
18,0.31719162587321176,31,3941,2432,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 3575 3079 2642 2656 2214 1878 2462 4076 1239
 6626 3811  914 2432 1461 3650 3310 1749 2027 1616  690 2223]"
19,0.3166349875580884,19,3575,1120,"[2759 3017 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 3811  914 2432 1461 3650 3310 1749 2027 1616  690 2223]"
20,0.3063733396698538,1,3017,3374,"[2759 3374 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 3811  914 2432 1461 3650 3310 1749 2027 1616  690 2223]"
21,0.3042876529897333,36,2027,7180,"[2759 3374 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 3811  914 2432 1461 3650 3310 1749 7180 1616  690 2223]"
22,0.3035982704427146,29,3811,2175,"[2759 3374 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 2175  914 2432 1461 3650 3310 1749 7180 1616  690 2223]"
23,0.31706520786937004,36,7180,2732,"[2759 3374 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 4503 6907 1376 1299 2995 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
24,0.31707690161437957,14,4503,1742,"[2759 3374 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 1299 2995 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
25,0.31506081125321705,18,2995,2951,"[2759 3374 4781  887 1255 7184 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 1299 2951 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
26,0.3162396316971654,5,7184,1971,"[2759 3374 4781  887 1255 1971 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 1299 2951 1120 3079 2642 2656 2214 1878 2462 4076 1239
 6626 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
27,0.3103863352636604,22,2656,2826,"[2759 3374 4781  887 1255 1971 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 1299 2951 1120 3079 2642 2826 2214 1878 2462 4076 1239
 6626 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
28,0.3102351437901674,26,4076,4431,"[2759 3374 4781  887 1255 1971 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 1299 2951 1120 3079 2642 2826 2214 1878 2462 4431 1239
 6626 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
29,0.3137803719357026,25,2462,2303,"[2759 3374 4781  887 1255 1971 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 1299 2951 1120 3079 2642 2826 2214 1878 2303 4431 1239
 6626 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
30,0.3139107679561008,28,6626,4368,"[2759 3374 4781  887 1255 1971 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 1299 2951 1120 3079 2642 2826 2214 1878 2303 4431 1239
 4368 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
31,0.3197894296188022,17,1299,2655,"[2759 3374 4781  887 1255 1971 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 2655 2951 1120 3079 2642 2826 2214 1878 2303 4431 1239
 4368 2175  914 2432 1461 3650 3310 1749 2732 1616  690 2223]"
32,0.31529051975081424,32,1461,2068,"[2759 3374 4781  887 1255 1971 1976 2720  812  544 6688 1306  962 3590
 1742 6907 1376 2655 2951 1120 3079 2642 2826 2214 1878 2303 4431 1239
 4368 2175  914 2432 2068 3650 3310 1749 2732 1616  690 2223]"
33,0.3183985475402846,9,544,1108,"[2759 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 2951 1120 3079 2642 2826 2214 1878 2303 4431 1239
 4368 2175  914 2432 2068 3650 3310 1749 2732 1616  690 2223]"
34,0.3197622447884595,27,1239,1464,"[2759 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 2951 1120 3079 2642 2826 2214 1878 2303 4431 1464
 4368 2175  914 2432 2068 3650 3310 1749 2732 1616  690 2223]"
35,0.32111233702046377,32,2068,4081,"[2759 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 2951 1120 3079 2642 2826 2214 1878 2303 4431 1464
 4368 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
36,0.3257771729989859,0,2759,3641,"[3641 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 2951 1120 3079 2642 2826 2214 1878 2303 4431 1464
 4368 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
37,0.32837483666678674,18,2951,4072,"[3641 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 4072 1120 3079 2642 2826 2214 1878 2303 4431 1464
 4368 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
38,0.33002140944168623,28,4368,2880,"[3641 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 4072 1120 3079 2642 2826 2214 1878 2303 4431 1464
 2880 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
39,0.3254662214450509,20,3079,1172,"[3641 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 4072 1120 1172 2642 2826 2214 1878 2303 4431 1464
 2880 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
40,0.32742208994512173,22,2826,878,"[3641 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 2655 4072 1120 1172 2642  878 2214 1878 2303 4431 1464
 2880 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
41,0.331005650017793,17,2655,3007,"[3641 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 3007 4072 1120 1172 2642  878 2214 1878 2303 4431 1464
 2880 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
42,0.3329415498245298,26,4431,3228,"[3641 3374 4781  887 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 3007 4072 1120 1172 2642  878 2214 1878 2303 3228 1464
 2880 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
43,0.33291101603006357,3,887,3533,"[3641 3374 4781 3533 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 3007 4072 1120 1172 2642  878 2214 1878 2303 3228 1464
 2880 2175  914 2432 4081 3650 3310 1749 2732 1616  690 2223]"
44,0.3358129964850513,30,914,3145,"[3641 3374 4781 3533 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 3007 4072 1120 1172 2642  878 2214 1878 2303 3228 1464
 2880 2175 3145 2432 4081 3650 3310 1749 2732 1616  690 2223]"
45,0.33677966591056147,3,3533,2171,"[3641 3374 4781 2171 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 3007 4072 1120 1172 2642  878 2214 1878 2303 3228 1464
 2880 2175 3145 2432 4081 3650 3310 1749 2732 1616  690 2223]"
46,0.334052006513844,22,878,410,"[3641 3374 4781 2171 1255 1971 1976 2720  812 1108 6688 1306  962 3590
 1742 6907 1376 3007 4072 1120 1172 2642  410 2214 1878 2303 3228 1464
 2880 2175 3145 2432 4081 3650 3310 1749 2732 1616  690 2223]"
