grid_idx,grid_id,x,y
886,12_34,392250.0,289250.0
3794,53_31,412750.0,287750.0
2584,36_28,404250.0,286250.0
3784,53_21,412750.0,282750.0
3010,42_28,407250.0,286250.0
2655,37_28,404750.0,286250.0
7119,100_19,436250.0,281750.0
7330,103_17,437750.0,280750.0
3436,48_28,410250.0,286250.0
3238,45_43,408750.0,293750.0
1673,23_40,397750.0,292250.0
6834,96_18,434250.0,281250.0
3082,43_29,407750.0,286750.0
7109,100_9,436250.0,276750.0
2710,38_12,405250.0,278250.0
4290,60_30,416250.0,287250.0
3518,49_39,410750.0,291750.0
2220,31_19,401750.0,281750.0
3883,54_49,413250.0,296750.0
1390,19_41,395750.0,292750.0
3086,43_33,407750.0,288750.0
1955,27_38,399750.0,291250.0
2046,28_58,400250.0,301250.0
6617,93_14,432750.0,279250.0
836,11_55,391750.0,299750.0
2181,30_51,401250.0,297750.0
2508,35_23,403750.0,283750.0
1173,16_37,394250.0,290750.0
3588,50_38,411250.0,291250.0
3422,48_14,410250.0,279250.0
1018,14_24,393250.0,284250.0
3218,45_23,408750.0,283750.0
2945,41_34,406750.0,289250.0
525,7_28,389750.0,286250.0
3722,52_30,412250.0,287250.0
3005,42_23,407250.0,283750.0
3293,46_27,409250.0,285750.0
2733,38_35,405250.0,289750.0
1263,17_56,394750.0,300250.0
1545,21_54,396750.0,299250.0
