Incident_Number,call_time,initial_incident_type,incident_classification_label,incident_profile_label,incident_classification_level1,prl_count,brv_count,bsv_count,EASTINGS,NORTHINGS,callsign_station,call_seconds,reaction_seconds,driving_seconds,on_scene_seconds
2,01/04/2009 00:17,FLOODING AFFECTING ELECTRICS,"Water incident (flooding, leaks, rescues etc.)",Medium Risk,SSC,1,0,0,396626.6478,293398.2749,Wednesbury,72,90,357,2675
3,01/04/2009 01:19,AFA,False Alarms (Equipment),Low Risk,FALSE_ALARM,1,0,0,392467.7616,300729.972,Fallings Park,83,107,137,301
4,01/04/2009 02:38,HOUSE FIRE,Deliberate Dwelling Fires,High Risk,FIRE,1,0,0,414032.0265,295718.2087,Sutton Coldfield,60,59,243,1604
5,01/04/2009 03:06,CAR FIRE,Accidental fire in a vehicle,Medium Risk,FIRE,1,0,0,402125.9995,304036.436,Bloxwich,77,178,298,3683
6,01/04/2009 04:00,VEHICLE FIRE,Deliberate Vehicle Fires,Medium Risk,FIRE,2,0,0,434018.7384,283292.7994,Foleshill,39,138,142,1891
7,01/04/2009 04:18,FIRE,Deliberate Vehicle Fires,Medium Risk,FIRE,2,0,0,389303.2417,287797.8539,Stourbridge,55,128,290,2937
8,01/04/2009 05:32,CAR FIRE,Deliberate Vehicle Fires,Medium Risk,FIRE,1,0,0,400297.283,293871.541,Wednesbury,129,88,246,3088
9,01/04/2009 06:13,OPEN,Accidental secondary fire,Low Risk,FIRE,1,0,0,413999.7832,300172.0657,Sutton Coldfield,218,60,415,532
10,01/04/2009 06:41,HOUSE FIRE,False alarm raised with malicious intent,False Alarms,FALSE_ALARM,2,0,0,390989.878,297714.1582,Wolverhampton,47,146,87,697
11,01/04/2009 07:03,LOCK IN,Lock in / lock out (effecting entry / exit),Medium Risk,SSC,1,0,0,406070.8205,290723.1433,Aston,96,100,368,487
12,01/04/2009 07:27,AFA,False Alarms (Equipment),Medium Risk,FALSE_ALARM,2,0,0,400175.1416,298031.7356,Walsall,39,93,234,421
13,01/04/2009 07:39,CANAL EMBANKMENT,Accidental rubbish fire,Secondary Fires that attract a 20 minute-response time,FIRE,1,0,0,393042.16,296009.4503,Bilston,160,71,224,2031
14,01/04/2009 08:12,AFA,False Alarms (Equipment),Medium Risk,FALSE_ALARM,1,0,0,410918.6866,291078.6571,Erdington,98,121,226,375
15,01/04/2009 09:14,INSPECTION CALL,False Alarms (Equipment),False Alarms,FALSE_ALARM,1,0,0,406756.538,282079.6209,Billesley,86,120,249,831
17,01/04/2009 09:25,AFA,False Alarms (Equipment),Low Risk,FALSE_ALARM,1,0,0,407440.6281,286732.9708,Highgate,146,100,237,247
18,01/04/2009 09:30,CHEMICAL,Hazardous Materials incident,High Risk,SSC,1,0,0,413745.3966,290569.9278,Erdington,266,56,389,5954
19,01/04/2009 10:07,AFA,False Alarms (Equipment),Low Risk,FALSE_ALARM,1,0,0,409539.7064,286329.0125,Ward End,127,65,315,360
20,01/04/2009 10:14,AFA,False Alarms (Equipment),Low Risk,FALSE_ALARM,1,0,0,405549.619,279081.2929,Kings Norton,113,118,146,530
21,01/04/2009 10:18,SMELL OF BURNING,False Alarms (Equipment),False Alarms,FALSE_ALARM,2,0,0,407198.8146,287431.1944,Ladywood,178,62,271,973
