grid_idx,min_time_sec,grid_id
51,525.6,0_51
52,382.5,0_52
53,343.6,0_53
122,405.0,1_51
123,347.8,1_52
124,313.8,1_53
125,510.5,1_54
128,203.2,1_57
129,177.1,1_58
174,517.9,2_32
175,504.1,2_33
176,532.4,2_34
177,479.6,2_35
178,517.4,2_36
192,506.6,2_50
193,385.5,2_51
194,343.6,2_52
195,269.1,2_53
196,542.7,2_54
197,185.5,2_55
198,168.0,2_56
199,192.8,2_57
200,159.0,2_58
237,420.1,3_24
242,547.4,3_29
243,507.3,3_30
244,509.9,3_31
245,597.8,3_32
246,510.9,3_33
247,549.2,3_34
248,443.9,3_35
249,503.1,3_36
260,420.5,3_47
261,447.8,3_48
262,386.1,3_49
263,353.7,3_50
264,315.5,3_51
265,378.6,3_52
266,300.4,3_53
267,224.1,3_54
268,219.7,3_55
269,84.5,3_56
270,99.1,3_57
271,252.8,3_58
304,446.4,4_20
305,483.6,4_21
306,387.5,4_22
307,402.1,4_23
308,363.6,4_24
309,291.7,4_25
310,316.9,4_26
311,378.5,4_27
312,513.8,4_28
313,496.6,4_29
314,496.9,4_30
315,558.2,4_31
316,520.0,4_32
317,519.6,4_33
318,468.6,4_34
319,404.5,4_35
320,388.9,4_36
321,339.3,4_37
329,412.0,4_45
330,382.8,4_46
331,430.7,4_47
332,412.6,4_48
333,353.7,4_49
334,312.8,4_50
335,293.6,4_51
336,322.8,4_52
337,240.9,4_53
338,174.1,4_54
339,157.8,4_55
340,0.0,4_56
341,121.3,4_57
342,151.9,4_58
373,399.4,5_18
375,305.9,5_20
376,369.0,5_21
377,338.9,5_22
378,376.8,5_23
379,283.4,5_24
380,255.0,5_25
381,270.6,5_26
382,303.8,5_27
383,412.7,5_28
384,397.1,5_29
385,393.8,5_30
386,435.7,5_31
387,434.6,5_32
388,486.5,5_33
389,472.9,5_34
390,396.0,5_35
391,416.2,5_36
392,484.6,5_37
393,384.8,5_38
400,501.3,5_45
401,372.4,5_46
402,330.7,5_47
403,309.7,5_48
404,295.1,5_49
405,252.7,5_50
406,276.6,5_51
407,296.5,5_52
408,265.1,5_53
409,176.2,5_54
410,130.6,5_55
411,74.3,5_56
412,170.5,5_57
413,299.7,5_58
414,329.5,5_59
415,438.2,5_60
416,385.8,5_61
444,681.9,6_18
445,379.2,6_19
446,340.8,6_20
447,288.1,6_21
448,300.1,6_22
449,256.4,6_23
450,213.4,6_24
451,219.8,6_25
452,221.2,6_26
453,251.8,6_27
454,320.7,6_28
455,341.2,6_29
456,397.4,6_30
