iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
1,0.38131369252224445,3,3284,3212,"[2759 3017 4781 3212 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3741  340 1461 2112 3583 1749 2027 1616  690 2223]",1051
2,0.38221967598535783,30,3741,3740,"[2759 3017 4781 3212 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3583 1749 2027 1616  690 2223]",1080
3,0.38420959112332637,34,3583,3582,"[2759 3017 4781 3212 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",1019
4,0.38531945661430267,22,2656,2655,"[2759 3017 4781 3212 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",1002
5,0.38938129073309563,7,2720,4436,"[2759 3017 4781 3212 1255 7184 1976 4436  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",1002
6,0.3904918645715687,19,3575,3573,"[2759 3017 4781 3212 1255 7184 1976 4436  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",987
7,0.39309253096595853,1,3017,3085,"[2759 3085 4781 3212 1255 7184 1976 4436  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",968
8,0.3953694401500669,4,1255,1326,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",978
9,0.390622458436724,10,6688,6756,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6329 6756 1306  962 3590
 1051 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",972
10,0.3937232312810201,9,6329,6118,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6118 6756 1306  962 3590
 1051 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",1006
11,0.39239449128929854,9,6118,6046,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 1306  962 3590
 1051 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",1006
12,0.39721734732358605,11,1306,2247,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
 1051 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",924
13,0.39544972911946014,14,1051,840,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740  340 1461 2112 3582 1749 2027 1616  690 2223]",938
14,0.39603982750298905,31,340,6406,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  592 3740 6406 1461 2112 3582 1749 2027 1616  690 2223]",906
15,0.3956118555857976,29,592,521,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2642 2655 2214 1878 3166 4076 2234
 3991  521 3740 6406 1461 2112 3582 1749 2027 1616  690 2223]",942
16,0.3965230448841994,24,1878,1786,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2642 2655 2214 1786 3166 4076 2234
 3991  521 3740 6406 1461 2112 3582 1749 2027 1616  690 2223]",899
17,0.40008977927720135,34,3582,3652,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2642 2655 2214 1786 3166 4076 2234
 3991  521 3740 6406 1461 2112 3652 1749 2027 1616  690 2223]",904
18,0.4005563165238533,33,2112,2254,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2642 2655 2214 1786 3166 4076 2234
 3991  521 3740 6406 1461 2254 3652 1749 2027 1616  690 2223]",905
19,0.40016237071483396,21,2642,2853,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 1786 3166 4076 2234
 3991  521 3740 6406 1461 2254 3652 1749 2027 1616  690 2223]",907
20,0.3990905641782758,30,3740,3811,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 1786 3166 4076 2234
 3991  521 3811 6406 1461 2254 3652 1749 2027 1616  690 2223]",958
21,0.400434223397488,37,1616,1549,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 1786 3166 4076 2234
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",909
22,0.4022584089989081,27,2234,2160,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 1786 3166 4076 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",896
23,0.40190590438490315,24,1786,2649,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4076 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",868
24,0.40254314836619,26,4076,4147,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247  962 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",888
25,0.4011743552332163,12,962,1172,"[2759 3085 4781 3212 1326 7184 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",911
26,0.40288841793084246,5,7184,7329,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3811 6406 1461 2254 3652 1749 2027 1549  690 2223]",920
27,0.4023044045264585,30,3811,3671,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 2160
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2223]",965
28,0.40250487110991084,27,2160,7251,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2223]",911
29,0.40253896911891107,39,2223,2154,"[2759 3085 4781 3212 1326 7329 1976 4436  812 6046 6756 2247 1172 3590
  840 6907 1376 1299 2591 3573 3079 2853 2655 2214 2649 3166 4147 7251
 3991  521 3671 6406 1461 2254 3652 1749 2027 1549  690 2154]",945
