iter,fitness,moved_station,old_cell,new_cell,layout,allowed_count
1,0.3811485365232456,3,3284,3211,"[2759 3017 4781 3211 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 3741  340 1461 2112 3583 1749 2027 1616  690 2223]",1051
2,0.37699005189696844,30,3741,5056,"[2759 3017 4781 3211 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 5056  340 1461 2112 3583 1749 2027 1616  690 2223]",1076
3,0.37091246300385783,3,3211,1716,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 2234
 3991  592 5056  340 1461 2112 3583 1749 2027 1616  690 2223]",1069
4,0.3711498025137495,27,2234,6752,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 6752
 3991  592 5056  340 1461 2112 3583 1749 2027 1616  690 2223]",1055
5,0.3684207763965074,29,592,4092,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 6752
 3991 4092 5056  340 1461 2112 3583 1749 2027 1616  690 2223]",1107
6,0.37325076087322134,30,5056,592,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 6752
 3991 4092  592  340 1461 2112 3583 1749 2027 1616  690 2223]",1105
7,0.3604594931228943,33,2112,2529,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 2591 3575 3079 2642 2656 2214 1878 3166 4076 6752
 3991 4092  592  340 1461 2529 3583 1749 2027 1616  690 2223]",1080
8,0.3561123567000356,18,2591,5770,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 5770 3575 3079 2642 2656 2214 1878 3166 4076 6752
 3991 4092  592  340 1461 2529 3583 1749 2027 1616  690 2223]",1027
9,0.355478296341862,31,340,4210,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 5770 3575 3079 2642 2656 2214 1878 3166 4076 6752
 3991 4092  592 4210 1461 2529 3583 1749 2027 1616  690 2223]",988
10,0.35320881273247184,25,3166,2953,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 5770 3575 3079 2642 2656 2214 1878 2953 4076 6752
 3991 4092  592 4210 1461 2529 3583 1749 2027 1616  690 2223]",995
11,0.36138763165415455,18,5770,3212,"[2759 3017 4781 1716 1255 7184 1976 2720  812 6329 6688 1306  962 3590
 1051 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 6752
 3991 4092  592 4210 1461 2529 3583 1749 2027 1616  690 2223]",1050
12,0.35950311734514095,9,6329,412,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 1051 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 6752
 3991 4092  592 4210 1461 2529 3583 1749 2027 1616  690 2223]",1035
13,0.35560709041809835,34,3583,3746,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 1051 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 6752
 3991 4092  592 4210 1461 2529 3746 1749 2027 1616  690 2223]",1012
14,0.3600357211531532,33,2529,4502,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 1051 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 6752
 3991 4092  592 4210 1461 4502 3746 1749 2027 1616  690 2223]",990
15,0.35704595774040315,28,3991,6268,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 1051 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 6752
 6268 4092  592 4210 1461 4502 3746 1749 2027 1616  690 2223]",1046
16,0.354716345144183,14,1051,5905,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 6752
 6268 4092  592 4210 1461 4502 3746 1749 2027 1616  690 2223]",1024
17,0.36011553463289037,27,6752,1193,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 1193
 6268 4092  592 4210 1461 4502 3746 1749 2027 1616  690 2223]",978
18,0.3595780143776212,31,4210,2748,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 3575 3079 2642 2656 2214 1878 2953 4076 1193
 6268 4092  592 2748 1461 4502 3746 1749 2027 1616  690 2223]",991
19,0.3586786206213494,19,3575,2180,"[2759 3017 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 4092  592 2748 1461 4502 3746 1749 2027 1616  690 2223]",947
20,0.35379056113746343,1,3017,3713,"[2759 3713 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 4092  592 2748 1461 4502 3746 1749 2027 1616  690 2223]",942
21,0.3506851785645653,36,2027,6325,"[2759 3713 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 4092  592 2748 1461 4502 3746 1749 6325 1616  690 2223]",916
22,0.3479934249544322,29,4092,2837,"[2759 3713 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 2837  592 2748 1461 4502 3746 1749 6325 1616  690 2223]",954
23,0.36014121866535675,36,6325,3369,"[2759 3713 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 5905 6907 1376 1299 3212 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",963
24,0.35816348468187154,14,5905,2170,"[2759 3713 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 1299 3212 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",986
25,0.35918792218932566,18,3212,3648,"[2759 3713 4781 1716 1255 7184 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 1299 3648 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",972
26,0.35701675035997427,5,7184,2947,"[2759 3713 4781 1716 1255 2947 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 1299 3648 2180 3079 2642 2656 2214 1878 2953 4076 1193
 6268 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",1028
27,0.34759101347977794,22,2656,3596,"[2759 3713 4781 1716 1255 2947 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 1299 3648 2180 3079 2642 3596 2214 1878 2953 4076 1193
 6268 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",1046
28,0.3479436974300629,26,4076,6329,"[2759 3713 4781 1716 1255 2947 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 1299 3648 2180 3079 2642 3596 2214 1878 2953 6329 1193
 6268 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",1031
29,0.34609764301025614,25,2953,2740,"[2759 3713 4781 1716 1255 2947 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 1299 3648 2180 3079 2642 3596 2214 1878 2740 6329 1193
 6268 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",1007
30,0.346316586364789,28,6268,6484,"[2759 3713 4781 1716 1255 2947 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 1299 3648 2180 3079 2642 3596 2214 1878 2740 6329 1193
 6484 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",1046
31,0.3541898707130176,17,1299,3209,"[2759 3713 4781 1716 1255 2947 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 3209 3648 2180 3079 2642 3596 2214 1878 2740 6329 1193
 6484 2837  592 2748 1461 4502 3746 1749 3369 1616  690 2223]",1032
32,0.36315300339315343,32,1461,2515,"[2759 3713 4781 1716 1255 2947 1976 2720  812  412 6688 1306  962 3590
 2170 6907 1376 3209 3648 2180 3079 2642 3596 2214 1878 2740 6329 1193
 6484 2837  592 2748 2515 4502 3746 1749 3369 1616  690 2223]",997
33,0.3629099973927415,9,412,1017,"[2759 3713 4781 1716 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3209 3648 2180 3079 2642 3596 2214 1878 2740 6329 1193
 6484 2837  592 2748 2515 4502 3746 1749 3369 1616  690 2223]",1009
34,0.35922195760394593,27,1193,1057,"[2759 3713 4781 1716 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3209 3648 2180 3079 2642 3596 2214 1878 2740 6329 1057
 6484 2837  592 2748 2515 4502 3746 1749 3369 1616  690 2223]",1041
35,0.34681671168657924,32,2515,4917,"[2759 3713 4781 1716 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3209 3648 2180 3079 2642 3596 2214 1878 2740 6329 1057
 6484 2837  592 2748 4917 4502 3746 1749 3369 1616  690 2223]",1026
36,0.3482139997436115,0,2759,4079,"[4079 3713 4781 1716 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3209 3648 2180 3079 2642 3596 2214 1878 2740 6329 1057
 6484 2837  592 2748 4917 4502 3746 1749 3369 1616  690 2223]",1050
37,0.3392811382738123,18,3648,4553,"[4079 3713 4781 1716 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3209 4553 2180 3079 2642 3596 2214 1878 2740 6329 1057
 6484 2837  592 2748 4917 4502 3746 1749 3369 1616  690 2223]",1012
38,0.35435892225474325,28,6484,2588,"[4079 3713 4781 1716 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3209 4553 2180 3079 2642 3596 2214 1878 2740 6329 1057
 2588 2837  592 2748 4917 4502 3746 1749 3369 1616  690 2223]",971
39,0.349510994544334,20,3079,1121,"[4079 3713 4781 1716 1255 2947 1976 2720  812 1017 6688 1306  962 3590
 2170 6907 1376 3209 4553 2180 1121 2642 3596 2214 1878 2740 6329 1057
 2588 2837  592 2748 4917 4502 3746 1749 3369 1616  690 2223]",956
