Incident_Number,EASTINGS,NORTHINGS
2,-2.051166314,52.53843293
3,-2.112652508,52.60430091
4,-1.79445107,52.55912201
5,-1.970021244,52.63407527
6,-1.500909987,52.44654463
7,-2.1589576,52.48798971
8,-1.997047532,52.54269867
9,-1.794739997,52.59916189
10,-2.134391377,52.57716664
11,-1.911972821,52.51436243
12,-1.99884776,52.58009815
13,-2.104070293,52.56187221
14,-1.840525369,52.51748393
15,-1.902040628,52.43664966
17,-1.891875752,52.47847442
18,-1.798890291,52.51284716
19,-1.860981292,52.47481065
20,-1.9198427,52.40970792
21,-1.895421264,52.48475461
22,-1.917374118,52.50777725
23,-1.505409568,52.41017661
24,-1.933647913,52.51034582
25,-1.85743221,52.52869499
26,-1.990240582,52.60837248
27,-1.987217742,52.56766872
28,-1.855119748,52.52052971
29,-1.772663435,52.41600445
30,-1.986676263,52.58266356
31,-1.492609254,52.44191215
32,-1.860791139,52.46845595
33,-2.092047336,52.512066
34,-1.737238264,52.47130099
35,-1.864350872,52.43767649
36,-1.893650992,52.50453659
37,-1.888201794,52.57837547
38,-1.770013994,52.41754382
39,-1.935038602,52.43920634
40,-1.820528113,52.56267317
41,-2.112459087,52.47660407
42,-2.099304649,52.54786105
43,-2.064801301,52.56006834
44,-2.130943062,52.59316438
45,-2.051527588,52.58284388
46,-2.13264173,52.59645896
47,-1.888081708,52.50201402
48,-1.988118648,52.53536772
50,-1.810034355,52.48198011
51,-1.982747794,52.58559814
52,-2.043572184,52.50343697
53,-1.995317018,52.52240316
54,-2.093757473,52.60587522
55,-2.144447338,52.49381545
56,-2.017971309,52.57767524
57,-2.048339665,52.55245932
58,-1.824442792,52.51843848
59,-1.826358608,52.51969698
60,-1.889416029,52.40860971
61,-2.01748439,52.58729085
62,-1.856213277,52.50835325
63,-1.763571124,52.4724054
64,-1.887090904,52.40851392
65,-2.029519706,52.5752711
66,-1.894858333,52.46685905
67,-2.015476027,52.58722192
68,-2.023870013,52.61368709
69,-2.141232829,52.50793398
70,-2.130956879,52.58886611
71,-1.876944921,52.46070293
72,-2.112239709,52.46009257
73,-2.017426311,52.60682105
74,-1.490739935,52.42749673
76,-2.018342805,52.60935233
77,-2.100268323,52.4738693
78,-1.798311712,52.43917718
79,-2.120815842,52.52470186
80,-2.009455789,52.4977167
81,-2.03207322,52.58517707
82,-1.971588719,52.6179575
83,-1.958898132,52.49359143
84,-2.177633367,52.5897333
85,-1.821624324,52.52296962
86,-2.009434346,52.57029377
87,-1.89599156,52.47950443
88,-1.990864882,52.54974896
89,-2.012298743,52.39708857
90,-2.028726557,52.54061719
91,-2.064077594,52.58717448
92,-1.876146338,52.44072667
93,-2.059914788,52.54344175
94,-1.820169963,52.51978442
95,-2.115591238,52.58676258
96,-2.01687132,52.57761699
97,-1.919056664,52.40009906
98,-1.9195091,52.56182356
99,-1.856004832,52.47082681
100,-2.131071366,52.59535907
101,-2.036036838,52.52455614
102,-2.131412591,52.59383105
103,-1.994793816,52.54397261
104,-2.022675067,52.6061023
105,-2.077158453,52.56330304
106,-1.922369206,52.55628531
107,-1.992272314,52.53427274
108,-2.093551081,52.59963039
109,-2.161889828,52.46144449
110,-2.038695587,52.50084744
111,-2.095526783,52.56315409
112,-1.994553522,52.51395214
113,-2.081890542,52.52933452
114,-1.907652419,52.47707156
115,-1.910597279,52.4542337
116,-1.781811045,52.49119043
117,-2.116900297,52.62039468
118,-2.0524392,52.60259387
119,-1.773377256,52.51493438
120,-1.920664144,52.48225444
121,-1.992571773,52.48196339
122,-1.901906178,52.49334748
123,-2.138056316,52.49277203
125,-1.987927124,52.59656782
126,-1.997770256,52.47879468
127,-1.831446967,52.47555049
128,-2.011438158,52.48479377
129,-1.922865623,52.48713279
130,-1.482178878,52.41584014
131,-2.086589494,52.54286897
132,-1.976173008,52.48885021
133,-2.09000385,52.54166884
134,-2.13040821,52.49181122
135,-1.997883111,52.60727483
136,-2.01733028,52.57895543
137,-2.092720466,52.58097185
138,-2.005539455,52.61231157
139,-1.882360956,52.55995872
140,-2.046003964,52.56020023
141,-1.987002571,52.53494599
142,-2.070549092,52.5924779
143,-2.126203687,52.57392994
144,-2.055493081,52.52670678
145,-1.92639904,52.40182324
146,-1.873202802,52.44795981
147,-2.140983011,52.57964009
148,-1.455674434,52.43342422
149,-2.082883146,52.52511607
150,-2.125782659,52.58537021
151,-1.506250047,52.44988031
152,-1.457945981,52.43403801
153,-1.783138184,52.41351755
154,-1.892734291,52.50729268
155,-1.918824483,52.46831991
156,-1.774473406,52.41210322
157,-2.156435133,52.45047644
158,-1.764080953,52.5102923
159,-1.490267984,52.4434171
160,-1.812321371,52.5654549
161,-2.091983901,52.60065339
162,-1.940955491,52.45447246
163,-1.840376125,52.53997516
164,-1.870876395,52.54055133
165,-1.971794661,52.45974728
166,-1.46576898,52.39078767
167,-1.954248459,52.4894141
168,-1.912369482,52.51751103
169,-1.872892587,52.50574849
170,-1.929426472,52.48793863
171,-1.964008099,52.6183162
172,-1.93232265,52.43783236
173,-2.09689355,52.60080489
175,-2.097593909,52.6002271
176,-2.069145979,52.56577112
177,-2.122493096,52.58252037
178,-1.857252323,52.4630055
179,-2.108459031,52.50704518
180,-1.740304422,52.46702559
181,-1.75323516,52.43187987
182,-1.805558874,52.39604833
183,-2.090252435,52.6048032
184,-2.076313486,52.60789735
185,-2.098961421,52.60141386
186,-1.959896259,52.48876189
187,-1.475491413,52.425216
188,-2.03613367,52.51376762
189,-1.814788446,52.38175426
190,-1.912454998,52.62596175
191,-1.901256913,52.47897084
192,-1.913298,52.62957341
193,-1.866278643,52.4374345
194,-1.524719327,52.44265427
195,-1.492317543,52.40561823
196,-1.907799163,52.60175971
197,-2.115891777,52.58331717
198,-2.062935622,52.49357448
199,-1.991501237,52.5284533
200,-1.979408218,52.55159894
201,-1.755553378,52.48974301
202,-2.075338099,52.51565649
203,-1.933041456,52.49365416
204,-1.987208165,52.50873279
205,-2.052963677,52.57955161
206,-1.482540871,52.41232883
207,-2.044645579,52.56607354
208,-2.130642886,52.58237731
209,-2.165670438,52.46302058
210,-1.92255014,52.55831084
211,-1.965535749,52.54329768
212,-2.01130148,52.57943404
213,-2.010741931,52.43710685
214,-2.001318423,52.40515769
215,-1.951786876,52.39869801
216,-1.991958616,52.53529741
217,-1.888007328,52.46355951
218,-2.06876808,52.5587466
219,-2.067417965,52.55400478
220,-2.099108069,52.4498483
221,-1.807539946,52.53452215
222,-2.041720193,52.52605755
223,-1.78478994,52.47437864
224,-1.842530754,52.5289689
225,-2.03951343,52.57269676
226,-1.94940872,52.40648878
227,-1.848049005,52.49862463
228,-2.152769773,52.5866658
229,-1.839106327,52.47442994
230,-2.008141393,52.60355424
231,-1.875709419,52.46373598
232,-1.99707793,52.55241551
234,-1.494395692,52.38831741
235,-1.486797271,52.43573081
236,-1.473049689,52.44137163
237,-1.914013672,52.42793594
238,-2.016703114,52.51242997
239,-1.93942921,52.43903413
240,-2.013783156,52.39575688
241,-1.836483618,52.46223508
243,-1.890794589,52.48912108
244,-1.840338225,52.51038309
245,-2.015420695,52.57901484
246,-1.508041149,52.40762274
247,-1.844794399,52.46405151
248,-1.829497038,52.5649438
249,-1.979409793,52.50385623
